start date,cohort size,0 days later,1 days later,2 days later,3 days later,4 days later,5 days later,6 days later,7 days later,8 days later,9 days later,10 days later,11 days later,12 days later,13 days later,14 days later,15 days later,16 days later,17 days later,18 days later,19 days later,20 days later,21 days later,22 days later,23 days later,24 days later,25 days later,26 days later,27 days later,28 days later,29 days later,30 days later,31 days later,32 days later,33 days later,34 days later,35 days later,36 days later,37 days later,38 days later,39 days later,40 days later,41 days later,42 days later,43 days later,44 days later,45 days later,46 days later,47 days later,48 days later,49 days later,50 days later,51 days later,52 days later,53 days later,54 days later,55 days later,56 days later,57 days later,58 days later,59 days later,60 days later
2017-07-03,13874,13731,1352,1001,786,629,567,555,552,543,519,469,377,382,419,432,378,336,387,326,288,359,397,372,315,331,272,222,302,320,292,254,261,229,201,265,282,288,238,230,205,191,193,263,228,243,249,185,196,229,266,243,216,210,191,139,220,248,234,207,201,155
2017-07-04,12672,12355,1247,864,622,476,544,577,474,439,420,352,338,354,386,349,350,313,261,252,299,338,316,315,265,209,199,250,247,275,236,212,204,178,210,247,234,230,219,163,160,187,198,206,216,212,182,159,196,208,233,217,204,163,167,188,233,192,169,200,155,138
2017-07-05,12087,11753,1123,718,535,550,553,532,460,408,345,304,357,365,358,313,297,259,225,268,285,296,270,243,231,189,206,245,233,228,215,194,190,184,215,204,218,188,160,164,161,176,177,216,204,158,156,184,215,194,181,184,135,138,157,203,186,171,170,149,122,162
2017-07-06,13200,12852,1104,712,729,677,601,522,483,394,342,403,410,395,360,342,321,251,305,343,348,311,286,243,243,279,283,258,269,264,207,191,209,223,247,250,245,201,188,201,189,189,193,217,168,190,194,206,196,215,194,175,155,188,190,201,185,157,164,140,200,207
2017-07-07,12539,12245,1037,829,725,635,528,493,405,365,379,381,351,345,362,306,253,304,330,336,285,314,261,195,236,269,256,244,236,239,196,225,256,244,232,236,182,181,194,188,189,211,197,183,194,208,224,209,191,161,174,134,162,199,176,161,179,143,139,161,161,161
2017-07-08,12159,11861,1113,720,596,550,474,491,469,427,357,298,336,302,305,348,293,302,258,285,241,264,281,252,239,213,229,201,213,230,206,189,180,186,189,185,200,171,196,183,189,170,177,194,185,195,172,177,158,157,184,157,169,155,167,152,165,168,157,180,163,137
2017-07-09,13882,13562,1106,856,657,547,588,623,575,437,418,392,374,370,412,393,330,312,321,311,288,322,321,257,245,249,228,261,284,293,242,217,213,221,219,269,243,290,241,189,197,187,220,262,211,231,219,180,206,219,201,213,188,191,163,172,178,191,165,156,158,146
2017-07-10,14126,13793,1324,1005,816,622,524,554,589,487,474,436,393,338,377,407,369,356,352,304,232,312,318,342,296,289,249,220,254,301,284,305,251,225,168,209,216,222,269,207,212,183,261,256,245,204,222,180,159,190,242,229,203,193,180,156,187,204,186,193,190,180
2017-07-11,13923,13581,1321,977,711,569,595,575,529,500,433,366,352,358,415,399,407,350,315,257,295,343,346,303,307,271,207,264,283,264,260,236,214,205,207,243,235,248,250,194,220,221,268,234,228,232,198,175,200,226,222,216,218,186,166,191,212,214,196,225,176,149
2017-07-12,13623,13342,1237,827,637,644,597,560,516,459,355,339,380,372,364,347,332,308,291,293,312,321,284,264,251,217,248,282,270,251,231,216,198,206,200,196,233,221,196,181,203,234,236,203,205,188,174,195,225,194,200,189,152,152,177,199,192,189,168,139,140,159
2017-07-13,13410,13165,1154,764,688,656,578,532,459,433,344,352,398,378,347,336,301,268,298,294,300,310,275,227,204,231,287,278,252,255,213,190,210,250,210,226,225,193,161,205,246,221,207,201,194,158,186,220,216,203,206,175,146,182,229,182,194,203,184,147,180,194
2017-07-14,12392,12177,1065,886,772,603,576,511,431,372,355,404,397,383,345,339,273,287,324,319,254,273,244,208,211,284,266,241,252,227,187,224,212,210,226,245,217,179,195,226,198,219,206,176,148,175,210,206,196,166,151,150,178,189,175,176,176,126,125,134,171,160
2017-07-15,12316,12088,1136,706,571,532,447,459,450,415,359,342,322,322,279,334,306,255,250,223,249,257,274,272,247,230,210,204,216,231,215,236,213,184,199,193,195,220,209,183,156,156,161,189,171,185,183,172,134,166,186,153,153,148,130,144,153,166,144,122,140,136
2017-07-16,14915,14681,1132,855,697,622,590,546,515,491,443,443,402,397,427,382,366,333,325,307,306,332,313,275,264,262,270,251,282,301,299,303,227,235,251,279,290,259,241,223,206,230,262,244,226,231,225,191,189,227,258,218,200,207,204,191,216,210,166,160,200,178
2017-07-17,13884,13661,1285,937,777,558,466,542,569,502,440,457,392,357,381,401,337,320,312,264,259,297,313,308,298,292,241,212,244,254,225,238,253,242,188,228,249,251,225,213,192,187,215,234,225,208,205,168,168,195,199,196,193,185,175,135,198,204,201,200,168,150
2017-07-18,13305,13110,1238,912,685,497,581,614,540,501,459,367,287,343,380,367,350,332,263,230,294,290,301,281,258,192,199,217,252,219,243,244,196,172,200,268,257,224,240,205,165,229,274,225,226,206,167,156,199,230,218,201,190,167,163,190,212,204,190,164,145,134
2017-07-19,12833,12637,1245,808,579,633,628,604,473,455,388,337,347,369,366,358,311,272,239,255,301,292,299,270,196,188,229,223,225,240,229,211,201,216,237,232,241,228,188,167,196,243,224,217,185,158,176,188,206,206,200,177,146,143,168,186,177,198,181,150,138,157
2017-07-20,13164,12970,1199,701,755,669,589,517,504,384,361,368,405,380,344,333,298,285,293,317,329,278,272,249,229,251,229,241,262,243,226,207,247,248,253,246,230,205,180,204,247,232,230,192,176,178,201,225,210,191,193,180,178,184,210,199,209,199,173,163,159,185
2017-07-21,12381,12180,986,782,692,606,512,462,406,364,332,350,347,313,320,264,229,251,311,259,248,265,216,210,241,210,200,228,234,182,182,206,225,215,215,227,192,175,178,202,199,203,216,165,140,168,189,163,207,170,167,151,145,183,186,173,148,138,130,142,159,188
2017-07-22,11624,11404,1105,801,594,557,453,457,418,392,364,345,337,288,283,308,285,262,273,253,250,262,260,251,234,201,203,218,220,224,222,224,187,181,200,175,179,176,178,163,165,162,167,205,183,168,145,161,164,149,167,151,148,164,152,151,163,162,140,159,143,143
2017-07-23,13358,13143,1184,840,678,578,544,539,511,423,395,345,327,340,381,352,304,295,274,255,297,320,302,275,269,238,231,217,284,270,244,221,236,201,219,252,222,220,195,207,182,195,235,217,212,188,183,172,181,191,186,179,178,169,163,176,189,192,175,144,144,132
2017-07-24,13514,13275,1267,911,773,645,473,539,552,505,493,427,360,332,386,420,379,356,330,268,240,297,276,263,304,286,258,208,293,281,267,259,227,212,180,242,246,244,222,193,152,176,201,249,233,213,201,192,176,205,210,218,194,170,137,130,159,182,187,178,139,22
2017-07-25,13531,13353,1233,868,647,470,519,539,501,432,411,345,282,330,350,375,296,294,255,215,240,263,243,286,280,208,214,235,253,273,219,229,173,156,201,227,221,207,183,188,167,168,207,191,195,193,178,163,172,177,182,171,161,162,146,144,184,190,167,147,16,
2017-07-26,12713,12580,1118,762,541,540,562,522,461,446,360,319,313,397,335,331,291,278,233,269,257,252,278,223,224,191,248,243,223,246,209,178,160,202,248,231,189,186,185,144,204,198,201,201,204,184,158,170,190,171,175,178,157,140,137,176,162,140,123,20,,
2017-07-27,12424,12247,1127,677,685,652,554,522,468,398,321,358,390,364,326,324,268,267,276,296,290,307,264,239,216,236,284,277,256,225,218,185,212,249,237,205,208,179,187,207,200,195,233,202,179,167,199,206,190,203,189,154,153,187,190,200,192,147,18,,,
2017-07-28,12495,12319,960,801,684,570,484,465,398,348,406,433,360,370,294,278,275,286,276,240,288,264,221,203,239,282,257,266,229,215,215,208,244,224,193,198,163,143,187,193,185,202,180,175,161,144,188,176,191,165,147,142,140,182,180,185,146,19,,,,
