server_date_day,platform,sessions,leads,cr
2018-01-18,mobile-html5,165794,9696,0.05848221286656936
2018-01-18,desktop,382094,30035,0.07860631153590478
2018-01-19,mobile-html5,166485,10086,0.06058203441751509
2018-01-19,desktop,376601,29840,0.07923505248260095
2018-01-20,mobile-html5,181151,11921,0.06580697870837036
2018-01-20,desktop,385897,27589,0.07149317045740185
2018-01-21,mobile-html5,211571,11169,0.05279078890774255
2018-01-21,desktop,469253,29659,0.06320471046535664
2018-01-22,mobile-html5,169274,10654,0.0629393763956662
2018-01-22,desktop,405238,32333,0.07978768032612933
2018-01-23,mobile-html5,181767,11199,0.06161184373401112
2018-01-23,desktop,415426,33369,0.08032477505018945
2018-01-24,mobile-html5,177123,11435,0.06455965628405119
2018-01-24,desktop,408683,33223,0.08129283576757536
2018-01-25,desktop,401162,32981,0.08221366929071049
2018-01-25,mobile-html5,181963,11763,0.0646450102493364
2018-01-26,desktop,390914,32999,0.08441498641644965
2018-01-26,mobile-html5,176530,11392,0.06453294057667253
2018-01-27,mobile-html5,190961,12302,0.06442153109797288
2018-01-27,desktop,397564,30699,0.0772177561348613
2018-01-28,desktop,522292,34152,0.06538870976388687
2018-01-28,mobile-html5,236730,12694,0.053622270096734675
2018-01-29,desktop,412799,33664,0.08155058515161132
2018-01-29,mobile-html5,180887,11317,0.06256392112202645
2018-01-30,mobile-html5,182275,11131,0.061067068989164724
2018-01-30,desktop,415337,32796,0.0789623847622533
2018-01-31,desktop,396358,32560,0.08214795714984938
2018-01-31,mobile-html5,179051,11236,0.0627530703542566
2018-02-01,mobile-html5,180156,11243,0.06240702502275806
2018-02-01,desktop,400288,32155,0.08032966264289712
2018-02-02,desktop,396177,32752,0.08267011966873393
2018-02-02,mobile-html5,176957,11218,0.06339393185915222
2018-02-03,desktop,397658,29742,0.07479291250270333
2018-02-03,mobile-html5,193217,12540,0.0649011215369248
2018-02-04,desktop,516137,33551,0.06500405899983919
2018-02-04,mobile-html5,235766,12419,0.05267511006676111
2018-02-05,mobile-html5,185578,11717,0.06313787194602809
2018-02-05,desktop,419755,34187,0.08144512870603089
2018-02-06,mobile-html5,185006,11310,0.061133152438299296
2018-02-06,desktop,411181,34203,0.08318234548775356
2018-02-07,mobile-html5,184139,11459,0.06223016308332292
2018-02-07,desktop,401265,33874,0.08441802798649271
2018-02-08,desktop,392199,31478,0.08026027603334021
2018-02-08,mobile-html5,175858,10618,0.060378259732284
2018-02-09,mobile-html5,172454,11044,0.06404026581001311
2018-02-09,desktop,393975,33452,0.08490894092264738
2018-02-10,desktop,385204,28695,0.0744929959190455
2018-02-10,mobile-html5,190050,11915,0.06269402788739806
2018-02-11,mobile-html5,232202,12048,0.05188585800294571
2018-02-11,desktop,497747,33534,0.06737157632291103
2018-02-12,mobile-html5,185765,11448,0.061626248216833095
2018-02-12,desktop,408292,33855,0.08291859747435659
2018-02-13,mobile-html5,80539,6985,0.08672816896162108
2018-02-13,desktop,378372,34245,0.09050616853255526
2018-02-14,mobile-html5,43386,5959,0.13734845341815333
2018-02-14,desktop,378330,33952,0.08974175983929374
2018-02-15,mobile-html5,39398,5632,0.14295141885374893
2018-02-15,desktop,391873,34233,0.08735738364214937
2018-02-16,desktop,391519,34227,0.0874210447002572
2018-02-16,mobile-html5,36543,6046,0.16544892318638316
2018-02-17,mobile-html5,36848,6663,0.18082392531480676
2018-02-17,desktop,378255,29819,0.07883306235211696
2018-02-18,mobile-html5,50265,6241,0.12416194170894261
2018-02-18,desktop,504073,34975,0.0693847914885344
2018-02-19,desktop,383729,32404,0.08444501197459665
2018-02-19,mobile-html5,40949,5602,0.1368043175657525
2018-02-20,mobile-html5,35600,5472,0.15370786516853932
2018-02-20,desktop,393070,31932,0.08123743862416363
2018-02-21,mobile-html5,32056,5369,0.16748814574494633
2018-02-21,desktop,394979,33862,0.08573114013656422
2018-02-22,mobile-html5,29627,5778,0.1950248084517501
2018-02-22,desktop,407717,35491,0.08704812406644805
2018-02-23,mobile-html5,29574,5557,0.18790153513221072
2018-02-23,desktop,405758,35003,0.08626570517401998
2018-02-24,desktop,428107,33472,0.07818606096139516
2018-02-24,mobile-html5,32253,6045,0.18742442563482467
