date,sessions_ga,show_phone_ga,reply_click_ga,server_date_day,sessions_yamato,show_phone_yamato,reply_click_yamato,vertical,goal18Completions,goal2Completions
20180601,1877781,73323,2331,2018-06-01,1241249,58080,2059,otomoto,NA,NA
20180602,1909813,64659,2316,2018-06-02,1255646,51213,1997,otomoto,NA,NA
20180603,2446571,75982,3045,2018-06-03,1585691,60492,2542,otomoto,NA,NA
20180604,2099869,82203,2729,2018-06-04,1408230,66114,2371,otomoto,NA,NA
20180605,2130510,79057,2873,2018-06-05,1412106,63771,2474,otomoto,NA,NA
20180606,2087838,78826,2855,2018-06-06,1397919,63519,2462,otomoto,NA,NA
20180607,2050256,76910,2800,2018-06-07,1363763,61840,2433,otomoto,NA,NA
20180608,1876798,71277,2577,2018-06-08,1240072,56989,2235,otomoto,NA,NA
20180609,1797652,62917,2448,2018-06-09,1173817,49385,2060,otomoto,NA,NA
20180610,2435776,74769,3353,2018-06-10,1549526,59059,2820,otomoto,NA,NA
20180611,2204950,84013,2998,2018-06-11,1427100,66698,2620,otomoto,NA,NA
20180612,2206600,80659,3264,2018-06-12,1440762,64632,2748,otomoto,NA,NA
20180613,2167146,81170,3195,2018-06-13,1420094,64888,2710,otomoto,NA,NA
20180614,2085135,77703,2888,2018-06-14,1369944,61960,2437,otomoto,NA,NA
20180615,1882712,70151,2477,2018-06-15,1265096,55720,2140,otomoto,NA,NA
20180616,1748218,59438,2175,2018-06-16,1161246,46660,1865,otomoto,NA,NA
20180617,2354128,70947,3092,2018-06-17,1507868,55626,2575,otomoto,NA,NA
20180618,2121886,79545,2897,2018-06-18,1394660,63278,2464,otomoto,NA,NA
20180619,1876840,66209,2601,2018-06-19,1279668,53195,2249,otomoto,NA,NA
20180620,1923793,72353,2719,2018-06-20,1286794,58061,2362,otomoto,NA,NA
20180621,1990490,71067,2836,2018-06-21,1330007,57508,2420,otomoto,NA,NA
20180622,1923971,70791,2543,2018-06-22,1303714,56766,2155,otomoto,NA,NA
20180623,1945859,66472,2600,2018-06-23,1294815,52118,2237,otomoto,NA,NA
20180624,2318500,69913,3109,2018-06-24,1527621,55518,2671,otomoto,NA,NA
20180625,2046532,78841,2715,2018-06-25,1373438,62991,2384,otomoto,NA,NA
20180626,2091685,77260,2863,2018-06-26,1407580,62230,2512,otomoto,NA,NA
20180627,1995965,74728,2750,2018-06-27,1355183,60065,2381,otomoto,NA,NA
20180628,1997102,71580,2763,2018-06-28,1283107,51318,2134,otomoto,NA,NA
20180629,1878023,69408,2450,2018-06-29,1282557,55386,2092,otomoto,NA,NA
20180630,1883592,64381,2332,2018-06-30,1275245,50647,2002,otomoto,NA,NA
20180601,130929,3135,848,2018-06-01,122330,2950,603,standvirtual,NA,NA
20180602,118764,2418,711,2018-06-02,115899,2262,505,standvirtual,NA,NA
20180603,135312,2447,841,2018-06-03,137875,2297,597,standvirtual,NA,NA
20180604,151082,3848,1095,2018-06-04,141908,3568,800,standvirtual,NA,NA
20180605,150030,3704,1110,2018-06-05,133375,3426,808,standvirtual,NA,NA
20180606,145361,3749,1100,2018-06-06,132665,3440,761,standvirtual,NA,NA
20180607,149099,3614,1092,2018-06-07,135608,3303,797,standvirtual,NA,NA
20180608,141839,3564,1027,2018-06-08,123652,3255,708,standvirtual,NA,NA
20180609,134277,2784,863,2018-06-09,119058,2580,606,standvirtual,NA,NA
20180610,148069,2640,976,2018-06-10,128203,2451,713,standvirtual,NA,NA
20180611,156779,3913,1129,2018-06-11,131713,3622,811,standvirtual,NA,NA
20180612,150797,3562,1068,2018-06-12,125790,3284,744,standvirtual,NA,NA
20180613,148091,3277,1043,2018-06-13,126708,3041,702,standvirtual,NA,NA
20180614,139651,3503,1078,2018-06-14,126161,3175,744,standvirtual,NA,NA
