"","formula","n_tree","n_folds","error_per","MAE","n_predictors"
"1","price_RON~ make+mileage",100,1,0.61948306376446,22301.217162583,2
"2","price_RON~ make+mileage+age",100,1,0.375262154502438,15658.8202011746,3
"3","price_RON~ make+mileage+age+model",100,1,0.471747928169881,19741.3971012887,4
"4","price_RON~ make+mileage+age+model+engine_power",100,1,0.199267056910589,8894.78032696605,5
"5","price_RON~ make+mileage+age+model+engine_power+fuel_type",100,1,0.206645736534739,8883.09641861983,6
"6","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",100,1,0.194702138751787,8617.4043515053,7
"7","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",100,1,0.186027758345919,8297.92089746638,8
"8","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",100,1,0.161657506398282,7758.36283446154,9
"9","price_RON~ make+mileage",200,1,0.621416372715867,22307.4979980245,2
"10","price_RON~ make+mileage+age",200,1,0.369450466252423,15547.5922854295,3
"11","price_RON~ make+mileage+age+model",200,1,0.46862096226598,19653.0769808692,4
"12","price_RON~ make+mileage+age+model+engine_power",200,1,0.199325550524829,8873.03342835826,5
"13","price_RON~ make+mileage+age+model+engine_power+fuel_type",200,1,0.212238410857394,8937.31918581562,6
"14","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",200,1,0.195923374980055,8637.72017493657,7
"15","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",200,1,0.184658438769052,8279.25300003771,8
"16","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",200,1,0.160049532795095,7683.97200560091,9
"17","price_RON~ make+mileage",300,1,0.617825890586494,22147.6703566314,2
"18","price_RON~ make+mileage+age",300,1,0.366424496834036,15468.1129734997,3
"19","price_RON~ make+mileage+age+model",300,1,0.468601987801627,19618.1956855873,4
"20","price_RON~ make+mileage+age+model+engine_power",300,1,0.198227226644977,8839.82717312319,5
"21","price_RON~ make+mileage+age+model+engine_power+fuel_type",300,1,0.212127789529922,8954.89935669628,6
"22","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",300,1,0.198484005127928,8717.11886104535,7
"23","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",300,1,0.183739721723294,8260.64764186968,8
"24","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",300,1,0.160517198261607,7688.01016865087,9
"25","price_RON~ make+mileage",500,1,0.623442051823659,22420.63236457,2
"26","price_RON~ make+mileage+age",500,1,0.366742606012065,15504.7559782649,3
"27","price_RON~ make+mileage+age+model",500,1,0.469662248530534,19692.0491538379,4
"28","price_RON~ make+mileage+age+model+engine_power",500,1,0.198111023877974,8835.57392591829,5
"29","price_RON~ make+mileage+age+model+engine_power+fuel_type",500,1,0.210071986938914,8874.48990439095,6
"30","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",500,1,0.197040356894939,8655.56191914605,7
"31","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",500,1,0.185538560563229,8291.17718256249,8
"32","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",500,1,0.159843568603806,7695.80432353824,9
"33","price_RON~ make+mileage",1000,1,0.617615732625441,22200.6541957058,2
"34","price_RON~ make+mileage+age",1000,1,0.368951422378429,15517.1039662193,3
"35","price_RON~ make+mileage+age+model",1000,1,0.468245924259742,19725.9432197398,4
"36","price_RON~ make+mileage+age+model+engine_power",1000,1,0.19763779172766,8822.76286669577,5
"37","price_RON~ make+mileage+age+model+engine_power+fuel_type",1000,1,0.209393232600611,8893.70538960701,6
"38","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",1000,1,0.197712086124194,8644.46398811545,7
"39","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",1000,1,0.184029344575242,8255.81134940161,8
"40","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",1000,1,0.159943362927742,7691.97026130132,9
"41","price_RON~ make+mileage",100,2,0.622686321743171,22779.3550669833,2
"42","price_RON~ make+mileage+age",100,2,0.372031063759216,16354.0545887925,3
"43","price_RON~ make+mileage+age+model",100,2,0.470732230833259,19926.4629267234,4
"44","price_RON~ make+mileage+age+model+engine_power",100,2,0.207715233088597,9488.78253260854,5
"45","price_RON~ make+mileage+age+model+engine_power+fuel_type",100,2,0.22586839056813,9675.66556524541,6
"46","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",100,2,0.210551408141653,9352.49993008559,7
"47","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",100,2,0.199229918528912,8951.36756534662,8
"48","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",100,2,0.17011511636587,8264.28344952118,9
"49","price_RON~ make+mileage",200,2,0.618660667100459,22705.525828522,2
"50","price_RON~ make+mileage+age",200,2,0.367087912054311,16272.8145734648,3
"51","price_RON~ make+mileage+age+model",200,2,0.465571423755021,19632.3101882714,4
"52","price_RON~ make+mileage+age+model+engine_power",200,2,0.207410370423171,9445.66755435856,5
"53","price_RON~ make+mileage+age+model+engine_power+fuel_type",200,2,0.224760381926652,9599.52445775776,6
"54","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",200,2,0.211391226305578,9384.49827387631,7
"55","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",200,2,0.200217909613505,9017.52389683338,8
"56","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",200,2,0.169623133593787,8302.83718475395,9
"57","price_RON~ make+mileage",300,2,0.6209136847396,22707.0626193782,2
"58","price_RON~ make+mileage+age",300,2,0.368766173252339,16272.6096222538,3
"59","price_RON~ make+mileage+age+model",300,2,0.464251285104656,19701.6907975493,4
"60","price_RON~ make+mileage+age+model+engine_power",300,2,0.207308033512023,9434.16816309,5
"61","price_RON~ make+mileage+age+model+engine_power+fuel_type",300,2,0.224320557590089,9614.08885560727,6
"62","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",300,2,0.210961767373305,9313.16897912293,7
"63","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",300,2,0.200559398148719,8969.99334961845,8
"64","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",300,2,0.169627393434253,8262.96784847508,9
"65","price_RON~ make+mileage",500,2,0.615998107967449,22621.7832187158,2
"66","price_RON~ make+mileage+age",500,2,0.368045194778228,16241.2926498562,3
"67","price_RON~ make+mileage+age+model",500,2,0.468829820575462,19828.3251265644,4
"68","price_RON~ make+mileage+age+model+engine_power",500,2,0.207330531744195,9411.44466494212,5
"69","price_RON~ make+mileage+age+model+engine_power+fuel_type",500,2,0.222742945521643,9538.44015393172,6
"70","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",500,2,0.212550858302239,9357.06213332314,7
"71","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",500,2,0.199800374586828,9031.75169790407,8
"72","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",500,2,0.169061855815607,8252.616843907,9
"73","price_RON~ make+mileage",1000,2,0.620508730365762,22697.3739534891,2
"74","price_RON~ make+mileage+age",1000,2,0.370428680169721,16290.0650777145,3
"75","price_RON~ make+mileage+age+model",1000,2,0.465177936969025,19693.0328160891,4
"76","price_RON~ make+mileage+age+model+engine_power",1000,2,0.207673199153418,9423.02669995877,5
"77","price_RON~ make+mileage+age+model+engine_power+fuel_type",1000,2,0.223609968879809,9586.19182844265,6
"78","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",1000,2,0.211432675177263,9362.84666430299,7
"79","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",1000,2,0.199022464309981,8959.09432751439,8
"80","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",1000,2,0.168491277275583,8245.11972680601,9
"81","price_RON~ make+mileage",100,3,0.646495953195836,22737.9917170417,2
"82","price_RON~ make+mileage+age",100,3,0.372543630384772,15556.3233421611,3
"83","price_RON~ make+mileage+age+model",100,3,0.466138129868942,20060.0370463246,4
"84","price_RON~ make+mileage+age+model+engine_power",100,3,0.200591220847731,8874.09788517214,5
"85","price_RON~ make+mileage+age+model+engine_power+fuel_type",100,3,0.220509574474353,9149.79190174343,6
"86","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",100,3,0.209430987066749,8965.39050647159,7
"87","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",100,3,0.197311011542955,8660.39557900162,8
"88","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",100,3,0.163659711638876,7764.68723910012,9
"89","price_RON~ make+mileage",200,3,0.629243695141892,22314.4284481963,2
"90","price_RON~ make+mileage+age",200,3,0.366828804647114,15417.9832529324,3
"91","price_RON~ make+mileage+age+model",200,3,0.457654343073222,19670.5658558426,4
"92","price_RON~ make+mileage+age+model+engine_power",200,3,0.199675403832949,8832.70841290225,5
"93","price_RON~ make+mileage+age+model+engine_power+fuel_type",200,3,0.218774392056355,9074.08544241258,6
"94","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",200,3,0.207998820781402,8905.0573205399,7
"95","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",200,3,0.194783009545535,8568.93815743486,8
"96","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",200,3,0.164005960147804,7762.87542651729,9
"97","price_RON~ make+mileage",300,3,0.638694532861493,22424.1054672557,2
"98","price_RON~ make+mileage+age",300,3,0.368640455783996,15418.6808235204,3
"99","price_RON~ make+mileage+age+model",300,3,0.461180295539774,19729.827471292,4
"100","price_RON~ make+mileage+age+model+engine_power",300,3,0.200567492312721,8860.18735011445,5
