"","max_depth","nrounds","MAE","error_per"
"1",3,2,13798.4358573699,0.341441118901109
"2",6,2,9904.40503068006,0.226190242198118
"3",9,2,8368.67727921735,0.189740203889924
"4",12,2,7619.82029356592,0.168753301261235
"5",3,4,12816.6717306442,0.305472891814164
"6",6,4,8790.77122775158,0.203735122811322
"7",9,4,7697.59500306134,0.175895793011797
"8",12,4,7311.56435869724,0.162797945203732
"9",3,6,11556.2296795165,0.279893085942163
"10",6,6,8442.73304908779,0.19838289615296
"11",9,6,7468.2629721658,0.17174815252316
"12",12,6,7115.98687990831,0.156941105766002
"13",3,8,10301.7515004013,0.244897948721629
"14",6,8,8244.61074786074,0.191152925287288
"15",9,8,7262.06151967903,0.165912725489381
"16",12,8,7049.91893168186,0.155218624469618
"17",3,10,9841.00846344871,0.232214682013965
"18",6,10,8109.73077776068,0.18841965620995
"19",9,10,7196.5427337726,0.16375898874303
"20",12,10,7006.36750050922,0.154144067648135
"21",3,12,9500.73702071858,0.220790018967768
"22",6,12,7926.12021326358,0.186090001091304
"23",9,12,7145.5430323356,0.162281283359184
"24",12,12,6998.72158019071,0.153775349267231
"25",3,14,9424.31583280246,0.220658293580348
"26",6,14,7642.4055214179,0.176233346562731
"27",9,14,7104.9235872834,0.160748289771638
"28",12,14,6991.5859645761,0.152965307477705
"29",3,16,9333.85555704136,0.218760447339919
"30",6,16,7608.89958450265,0.175435659118959
"31",9,16,7040.37569575695,0.158099208597368
"32",12,16,6978.22138256115,0.152431916876917
"33",3,18,9119.29855318088,0.211491142143258
"34",6,18,7508.44799938063,0.171718895723024
"35",9,18,6984.45442245742,0.156076219330026
"36",12,18,6963.64342919729,0.15186263475865
"37",3,20,8992.41607871561,0.207375930864439
"38",6,20,7443.5338528696,0.171007631389356
"39",9,20,6908.57841823864,0.154028703275892
"40",12,20,6924.18196707758,0.150301263412683
