livesync_dbname	created_at_first_day	name_en	blank_description	qtylistings	qtylistingswithliquidity	perlistingswithliquidity
autovitro	2017-06-01	Cars	false	1012	215	0.2124505928853754940
autovitro	2017-06-02	Cars	false	887	168	0.1894024802705749718
autovitro	2017-06-03	Cars	false	774	140	0.1808785529715762273
autovitro	2017-06-04	Cars	false	639	121	0.1893583724569640062
autovitro	2017-06-05	Cars	false	845	123	0.1455621301775147928
autovitro	2017-06-06	Cars	false	1050	186	0.1771428571428571428
autovitro	2017-06-07	Cars	false	1167	228	0.1953727506426735218
autovitro	2017-06-08	Cars	false	1010	196	0.1940594059405940594
autovitro	2017-06-09	Cars	false	929	196	0.2109795479009687836
autovitro	2017-06-10	Cars	false	815	168	0.2061349693251533742
autovitro	2017-06-11	Cars	false	989	174	0.1759352881698685540
autovitro	2017-06-12	Cars	false	1150	219	0.1904347826086956521
autovitro	2017-06-13	Cars	false	1284	241	0.1876947040498442367
autovitro	2017-06-14	Cars	false	1173	230	0.1960784313725490196
autovitro	2017-06-15	Cars	false	1098	226	0.2058287795992714025
autovitro	2017-06-16	Cars	false	981	209	0.2130479102956167176
autovitro	2017-06-17	Cars	false	927	171	0.1844660194174757281
autovitro	2017-06-18	Cars	false	946	160	0.1691331923890063424
autovitro	2017-06-19	Cars	false	1049	206	0.1963775023832221163
autovitro	2017-06-20	Cars	false	1084	184	0.1697416974169741697
autovitro	2017-06-21	Cars	false	976	177	0.1813524590163934426
autovitro	2017-06-22	Cars	false	936	209	0.2232905982905982905
autovitro	2017-06-23	Cars	false	859	196	0.2281722933643771827
autovitro	2017-06-24	Cars	false	735	140	0.1904761904761904761
autovitro	2017-06-25	Cars	false	699	117	0.1673819742489270386
autovitro	2017-06-26	Cars	false	947	176	0.1858500527983104540
autovitro	2017-06-27	Cars	false	1025	209	0.2039024390243902439
autovitro	2017-06-28	Cars	false	963	179	0.1858774662512980269
autovitro	2017-06-29	Cars	false	886	178	0.2009029345372460496
autovitro	2017-06-30	Cars	false	776	149	0.1920103092783505154
autovitro	2017-07-01	Cars	false	732	165	0.2254098360655737704
autovitro	2017-07-02	Cars	false	693	135	0.1948051948051948051
autovitro	2017-07-03	Cars	false	913	171	0.1872946330777656078
autovitro	2017-07-04	Cars	false	978	195	0.1993865030674846625
autovitro	2017-07-05	Cars	false	992	218	0.2197580645161290322
autovitro	2017-07-06	Cars	false	910	201	0.2208791208791208791
autovitro	2017-07-07	Cars	false	889	212	0.2384701912260967379
autovitro	2017-07-08	Cars	false	763	175	0.2293577981651376146
autovitro	2017-07-09	Cars	false	656	100	0.1524390243902439024
autovitro	2017-07-10	Cars	false	963	201	0.2087227414330218068
autovitro	2017-07-11	Cars	false	1041	260	0.2497598463016330451
autovitro	2017-07-12	Cars	false	1011	235	0.2324431256181998021
autovitro	2017-07-13	Cars	false	1005	225	0.2238805970149253731
autovitro	2017-07-14	Cars	false	885	189	0.2135593220338983050
