livesync_dbname	created_at_first_day	name_en	blank_description	qtylistings	qtylistingswithliquidity	perlistingswithliquidity
carspt	2017-06-01	Cars	false	689	265	0.3846153846153846153
carspt	2017-06-02	Cars	false	863	273	0.3163383545770567786
carspt	2017-06-03	Cars	false	596	237	0.3976510067114093959
carspt	2017-06-04	Cars	false	287	105	0.3658536585365853658
carspt	2017-06-05	Cars	false	629	225	0.3577106518282988871
carspt	2017-06-06	Cars	false	828	244	0.2946859903381642512
carspt	2017-06-07	Cars	false	728	263	0.3612637362637362637
carspt	2017-06-08	Cars	false	749	276	0.3684913217623497997
carspt	2017-06-09	Cars	false	741	275	0.3711201079622132253
carspt	2017-06-10	Cars	false	468	163	0.3482905982905982905
carspt	2017-06-11	Cars	false	233	80	0.3433476394849785407
carspt	2017-06-12	Cars	false	580	187	0.3224137931034482758
carspt	2017-06-13	Cars	false	577	221	0.3830155979202772963
carspt	2017-06-14	Cars	false	567	196	0.3456790123456790123
carspt	2017-06-15	Cars	false	398	146	0.3668341708542713567
carspt	2017-06-16	Cars	false	548	198	0.3613138686131386861
carspt	2017-06-17	Cars	false	482	183	0.3796680497925311203
carspt	2017-06-18	Cars	false	185	74	0.4000000000000000000
carspt	2017-06-19	Cars	false	445	153	0.3438202247191011235
carspt	2017-06-20	Cars	false	606	234	0.3861386138613861386
carspt	2017-06-21	Cars	false	687	241	0.3508005822416302765
carspt	2017-06-22	Cars	false	685	253	0.3693430656934306569
carspt	2017-06-23	Cars	false	787	235	0.2986022871664548919
carspt	2017-06-24	Cars	false	467	186	0.3982869379014989293
carspt	2017-06-25	Cars	false	333	128	0.3843843843843843843
carspt	2017-06-26	Cars	false	657	202	0.3074581430745814307
carspt	2017-06-27	Cars	false	757	241	0.3183619550858652575
carspt	2017-06-28	Cars	false	811	245	0.3020961775585696670
carspt	2017-06-29	Cars	false	741	210	0.2834008097165991902
carspt	2017-06-30	Cars	false	653	231	0.3537519142419601837
carspt	2017-07-01	Cars	false	679	264	0.3888070692194403534
carspt	2017-07-02	Cars	false	259	96	0.3706563706563706563
carspt	2017-07-03	Cars	false	625	230	0.3680000000000000000
carspt	2017-07-04	Cars	false	767	309	0.4028683181225554106
carspt	2017-07-05	Cars	false	741	298	0.4021592442645074224
carspt	2017-07-06	Cars	false	716	243	0.3393854748603351955
carspt	2017-07-07	Cars	false	791	312	0.3944374209860935524
carspt	2017-07-08	Cars	false	517	225	0.4352030947775628626
carspt	2017-07-09	Cars	false	303	114	0.3762376237623762376
carspt	2017-07-10	Cars	false	618	215	0.3478964401294498381
carspt	2017-07-11	Cars	false	661	233	0.3524962178517397881
carspt	2017-07-12	Cars	false	688	263	0.3822674418604651162
carspt	2017-07-13	Cars	false	743	257	0.3458950201884253028
carspt	2017-07-14	Cars	false	841	257	0.3055885850178359096
carspt	2017-07-15	Cars	false	445	191	0.4292134831460674157
carspt	2017-07-16	Cars	false	231	98	0.4242424242424242424
carspt	2017-07-17	Cars	false	637	232	0.3642072213500784929
carspt	2017-07-18	Cars	false	817	276	0.3378212974296205630
carspt	2017-07-19	Cars	false	709	272	0.3836389280677009873
carspt	2017-07-20	Cars	false	670	260	0.3880597014925373134
carspt	2017-07-21	Cars	false	681	250	0.3671071953010279001
carspt	2017-07-22	Cars	false	487	229	0.4702258726899383983
carspt	2017-07-23	Cars	false	285	109	0.3824561403508771929
carspt	2017-07-24	Cars	false	660	211	0.3196969696969696969
carspt	2017-07-25	Cars	false	696	249	0.3577586206896551724
carspt	2017-07-26	Cars	false	714	272	0.3809523809523809523
carspt	2017-07-27	Cars	false	762	252	0.3307086614173228346
carspt	2017-07-28	Cars	false	674	260	0.3857566765578635014
carspt	2017-07-29	Cars	false	560	206	0.3678571428571428571
carspt	2017-07-30	Cars	false	300	91	0.3033333333333333333
carspt	2017-07-31	Cars	false	652	252	0.3865030674846625766
carspt	2017-08-01	Cars	false	773	276	0.3570504527813712807
carspt	2017-08-02	Cars	false	728	264	0.3626373626373626373
carspt	2017-08-03	Cars	false	706	253	0.3583569405099150141
carspt	2017-08-04	Cars	false	580	225	0.3879310344827586206
carspt	2017-08-05	Cars	false	458	196	0.4279475982532751091
carspt	2017-08-06	Cars	false	419	113	0.2696897374701670644
carspt	2017-08-07	Cars	false	633	240	0.3791469194312796208
carspt	2017-08-08	Cars	false	694	251	0.3616714697406340057
carspt	2017-08-09	Cars	false	602	232	0.3853820598006644518
carspt	2017-08-10	Cars	false	581	186	0.3201376936316695352
carspt	2017-08-11	Cars	false	694	228	0.3285302593659942363
carspt	2017-08-12	Cars	false	482	157	0.3257261410788381742
carspt	2017-08-13	Cars	false	263	74	0.2813688212927756653
carspt	2017-08-14	Cars	false	654	184	0.2813455657492354740
carspt	2017-08-15	Cars	false	352	122	0.3465909090909090909
carspt	2017-08-16	Cars	false	688	171	0.2485465116279069767
carspt	2017-08-17	Cars	false	588	213	0.3622448979591836734
carspt	2017-08-18	Cars	false	637	223	0.3500784929356357927
carspt	2017-08-19	Cars	false	494	193	0.3906882591093117408
carspt	2017-08-20	Cars	false	239	85	0.3556485355648535564
carspt	2017-08-21	Cars	false	575	198	0.3443478260869565217
carspt	2017-08-22	Cars	false	583	207	0.3550600343053173241
carspt	2017-08-23	Cars	false	583	224	0.3842195540308747855
carspt	2017-08-24	Cars	false	738	261	0.3536585365853658536
carspt	2017-08-25	Cars	false	615	206	0.3349593495934959349
carspt	2017-08-26	Cars	false	509	193	0.3791748526522593320
carspt	2017-08-27	Cars	false	265	77	0.2905660377358490566
carspt	2017-08-28	Cars	false	729	202	0.2770919067215363511
carspt	2017-08-29	Cars	false	758	208	0.2744063324538258575
carspt	2017-08-30	Cars	false	686	235	0.3425655976676384839
carspt	2017-08-31	Cars	false	602	214	0.3554817275747508305
carspt	2017-09-01	Cars	false	588	211	0.3588435374149659863
carspt	2017-09-02	Cars	false	439	198	0.4510250569476082004
carspt	2017-09-03	Cars	false	278	94	0.3381294964028776978
carspt	2017-09-04	Cars	false	578	196	0.3391003460207612456
carspt	2017-09-05	Cars	false	592	211	0.3564189189189189189
carspt	2017-09-06	Cars	false	716	246	0.3435754189944134078
carspt	2017-09-07	Cars	false	601	261	0.4342762063227953410
carspt	2017-09-08	Cars	false	688	225	0.3270348837209302325
carspt	2017-09-09	Cars	false	453	208	0.4591611479028697571
carspt	2017-09-10	Cars	false	228	101	0.4429824561403508771
carspt	2017-09-11	Cars	false	636	236	0.3710691823899371069
carspt	2017-09-12	Cars	false	796	254	0.3190954773869346733
carspt	2017-09-13	Cars	false	653	200	0.3062787136294027565
carspt	2017-09-14	Cars	false	609	244	0.4006568144499178981
carspt	2017-09-15	Cars	false	642	231	0.3598130841121495327
carspt	2017-09-16	Cars	false	484	211	0.4359504132231404958
carspt	2017-09-17	Cars	false	234	78	0.3333333333333333333
carspt	2017-09-18	Cars	false	667	239	0.3583208395802098950
carspt	2017-09-19	Cars	false	623	236	0.3788121990369181380
carspt	2017-09-20	Cars	false	698	231	0.3309455587392550143
carspt	2017-09-21	Cars	false	665	267	0.4015037593984962406
carspt	2017-09-22	Cars	false	593	227	0.3827993254637436762
carspt	2017-09-23	Cars	false	453	219	0.4834437086092715231
carspt	2017-09-24	Cars	false	284	105	0.3697183098591549295
carspt	2017-09-25	Cars	false	709	268	0.3779971791255289139
carspt	2017-09-26	Cars	false	756	271	0.3584656084656084656
carspt	2017-09-27	Cars	false	639	238	0.3724569640062597809
carspt	2017-09-28	Cars	false	767	258	0.3363754889178617992
carspt	2017-09-29	Cars	false	858	325	0.3787878787878787878
carspt	2017-09-30	Cars	false	513	234	0.4561403508771929824
carspt	2017-10-01	Cars	false	246	100	0.4065040650406504065
carspt	2017-10-02	Cars	false	712	298	0.4185393258426966292
carspt	2017-10-03	Cars	false	680	317	0.4661764705882352941
carspt	2017-10-04	Cars	false	657	223	0.3394216133942161339
carspt	2017-10-05	Cars	false	445	188	0.4224719101123595505
carspt	2017-10-06	Cars	false	651	263	0.4039938556067588325
carspt	2017-10-07	Cars	false	479	216	0.4509394572025052192
carspt	2017-10-08	Cars	false	255	107	0.4196078431372549019
carspt	2017-10-09	Cars	false	633	234	0.3696682464454976303
carspt	2017-10-10	Cars	false	789	277	0.3510773130544993662
carspt	2017-10-11	Cars	false	640	278	0.4343750000000000000
carspt	2017-10-12	Cars	false	846	315	0.3723404255319148936
carspt	2017-10-13	Cars	false	697	303	0.4347202295552367288
carspt	2017-10-14	Cars	false	559	265	0.4740608228980322003
carspt	2017-10-15	Cars	false	326	144	0.4417177914110429447
carspt	2017-10-16	Cars	false	628	236	0.3757961783439490445
carspt	2017-10-17	Cars	false	703	267	0.3798008534850640113
carspt	2017-10-18	Cars	false	739	295	0.3991880920162381596
carspt	2017-10-19	Cars	false	648	256	0.3950617283950617283
carspt	2017-10-20	Cars	false	736	251	0.3410326086956521739
carspt	2017-10-21	Cars	false	487	235	0.4825462012320328542
carspt	2017-10-22	Cars	false	283	113	0.3992932862190812720
carspt	2017-10-23	Cars	false	684	253	0.3698830409356725146
carspt	2017-10-24	Cars	false	701	289	0.4122681883024251069
carspt	2017-10-25	Cars	false	687	258	0.3755458515283842794
carspt	2017-10-26	Cars	false	702	269	0.3831908831908831908
carspt	2017-10-27	Cars	false	745	323	0.4335570469798657718
carspt	2017-10-28	Cars	false	464	201	0.4331896551724137931
carspt	2017-10-29	Cars	false	338	141	0.4171597633136094674
carspt	2017-10-30	Cars	false	633	244	0.3854660347551342812
carspt	2017-10-31	Cars	false	762	282	0.3700787401574803149
carspt	2017-06-01	Cars	true	235	37	0.1574468085106382978
carspt	2017-06-02	Cars	true	162	44	0.2716049382716049382
carspt	2017-06-03	Cars	true	114	32	0.2807017543859649122
carspt	2017-06-04	Cars	true	113	22	0.1946902654867256637
carspt	2017-06-05	Cars	true	131	39	0.2977099236641221374
carspt	2017-06-06	Cars	true	206	42	0.2038834951456310679
carspt	2017-06-07	Cars	true	167	32	0.1916167664670658682
carspt	2017-06-08	Cars	true	143	37	0.2587412587412587412
carspt	2017-06-09	Cars	true	143	33	0.2307692307692307692
carspt	2017-06-10	Cars	true	134	35	0.2611940298507462686
carspt	2017-06-11	Cars	true	70	13	0.1857142857142857142
carspt	2017-06-12	Cars	true	152	36	0.2368421052631578947
carspt	2017-06-13	Cars	true	134	41	0.3059701492537313432
carspt	2017-06-14	Cars	true	127	29	0.2283464566929133858
carspt	2017-06-15	Cars	true	88	20	0.2272727272727272727
carspt	2017-06-16	Cars	true	135	38	0.2814814814814814814
carspt	2017-06-17	Cars	true	80	23	0.2875000000000000000
carspt	2017-06-18	Cars	true	39	10	0.2564102564102564102
carspt	2017-06-19	Cars	true	106	29	0.2735849056603773584
carspt	2017-06-20	Cars	true	142	38	0.2676056338028169014
carspt	2017-06-21	Cars	true	174	42	0.2413793103448275862
carspt	2017-06-22	Cars	true	159	49	0.3081761006289308176
carspt	2017-06-23	Cars	true	120	34	0.2833333333333333333
carspt	2017-06-24	Cars	true	97	28	0.2886597938144329896
carspt	2017-06-25	Cars	true	64	17	0.2656250000000000000
carspt	2017-06-26	Cars	true	119	32	0.2689075630252100840
carspt	2017-06-27	Cars	true	137	25	0.1824817518248175182
carspt	2017-06-28	Cars	true	105	21	0.2000000000000000000
carspt	2017-06-29	Cars	true	119	33	0.2773109243697478991
carspt	2017-06-30	Cars	true	122	41	0.3360655737704918032
carspt	2017-07-01	Cars	true	98	41	0.4183673469387755102
carspt	2017-07-02	Cars	true	113	22	0.1946902654867256637
carspt	2017-07-03	Cars	true	113	26	0.2300884955752212389
carspt	2017-07-04	Cars	true	124	33	0.2661290322580645161
carspt	2017-07-05	Cars	true	124	41	0.3306451612903225806
carspt	2017-07-06	Cars	true	113	32	0.2831858407079646017
carspt	2017-07-07	Cars	true	150	48	0.3200000000000000000
carspt	2017-07-08	Cars	true	86	29	0.3372093023255813953
carspt	2017-07-09	Cars	true	50	15	0.3000000000000000000
carspt	2017-07-10	Cars	true	261	41	0.1570881226053639846
carspt	2017-07-11	Cars	true	109	17	0.1559633027522935779
carspt	2017-07-12	Cars	true	131	36	0.2748091603053435114
carspt	2017-07-13	Cars	true	118	32	0.2711864406779661016
carspt	2017-07-14	Cars	true	157	47	0.2993630573248407643
carspt	2017-07-15	Cars	true	145	48	0.3310344827586206896
carspt	2017-07-16	Cars	true	71	16	0.2253521126760563380
carspt	2017-07-17	Cars	true	101	28	0.2772277227722772277
carspt	2017-07-18	Cars	true	160	42	0.2625000000000000000
carspt	2017-07-19	Cars	true	159	29	0.1823899371069182389
carspt	2017-07-20	Cars	true	104	38	0.3653846153846153846
carspt	2017-07-21	Cars	true	146	34	0.2328767123287671232
carspt	2017-07-22	Cars	true	89	28	0.3146067415730337078
carspt	2017-07-23	Cars	true	83	24	0.2891566265060240963
carspt	2017-07-24	Cars	true	122	41	0.3360655737704918032
carspt	2017-07-25	Cars	true	157	48	0.3057324840764331210
carspt	2017-07-26	Cars	true	123	34	0.2764227642276422764
carspt	2017-07-27	Cars	true	114	35	0.3070175438596491228
carspt	2017-07-28	Cars	true	121	42	0.3471074380165289256
carspt	2017-07-29	Cars	true	111	30	0.2702702702702702702
carspt	2017-07-30	Cars	true	90	22	0.2444444444444444444
carspt	2017-07-31	Cars	true	131	44	0.3358778625954198473
carspt	2017-08-01	Cars	true	144	46	0.3194444444444444444
carspt	2017-08-02	Cars	true	131	37	0.2824427480916030534
carspt	2017-08-03	Cars	true	116	34	0.2931034482758620689
carspt	2017-08-04	Cars	true	226	48	0.2123893805309734513
carspt	2017-08-05	Cars	true	91	25	0.2747252747252747252
carspt	2017-08-06	Cars	true	44	14	0.3181818181818181818
carspt	2017-08-07	Cars	true	120	31	0.2583333333333333333
carspt	2017-08-08	Cars	true	162	37	0.2283950617283950617
carspt	2017-08-09	Cars	true	147	41	0.2789115646258503401
carspt	2017-08-10	Cars	true	160	48	0.3000000000000000000
carspt	2017-08-11	Cars	true	116	32	0.2758620689655172413
carspt	2017-08-12	Cars	true	87	22	0.2528735632183908045
carspt	2017-08-13	Cars	true	42	7	0.1666666666666666666
carspt	2017-08-14	Cars	true	90	26	0.2888888888888888888
carspt	2017-08-15	Cars	true	106	20	0.1886792452830188679
carspt	2017-08-16	Cars	true	105	22	0.2095238095238095238
carspt	2017-08-17	Cars	true	132	33	0.2500000000000000000
carspt	2017-08-18	Cars	true	108	26	0.2407407407407407407
carspt	2017-08-19	Cars	true	88	35	0.3977272727272727272
carspt	2017-08-20	Cars	true	45	8	0.1777777777777777777
carspt	2017-08-21	Cars	true	96	16	0.1666666666666666666
carspt	2017-08-22	Cars	true	131	27	0.2061068702290076335
carspt	2017-08-23	Cars	true	139	27	0.1942446043165467625
carspt	2017-08-24	Cars	true	137	32	0.2335766423357664233
carspt	2017-08-25	Cars	true	150	33	0.2200000000000000000
carspt	2017-08-26	Cars	true	86	21	0.2441860465116279069
carspt	2017-08-27	Cars	true	63	13	0.2063492063492063492
carspt	2017-08-28	Cars	true	105	21	0.2000000000000000000
carspt	2017-08-29	Cars	true	129	35	0.2713178294573643410
carspt	2017-08-30	Cars	true	124	28	0.2258064516129032258
carspt	2017-08-31	Cars	true	134	33	0.2462686567164179104
