livesync_dbname	created_at_first_day	name_en	blank_description	qtylistings	qtylistingswithliquidity	perlistingswithliquidity
carspt	2017-06-01	Cars	false	688	265	0.3851744186046511627
carspt	2017-06-02	Cars	false	863	273	0.3163383545770567786
carspt	2017-06-03	Cars	false	596	237	0.3976510067114093959
carspt	2017-06-04	Cars	false	286	105	0.3671328671328671328
carspt	2017-06-05	Cars	false	629	225	0.3577106518282988871
carspt	2017-06-06	Cars	false	828	244	0.2946859903381642512
carspt	2017-06-07	Cars	false	727	262	0.3603851444291609353
carspt	2017-06-08	Cars	false	748	277	0.3703208556149732620
carspt	2017-06-09	Cars	false	740	274	0.3702702702702702702
carspt	2017-06-10	Cars	false	468	163	0.3482905982905982905
carspt	2017-06-11	Cars	false	233	80	0.3433476394849785407
carspt	2017-06-12	Cars	false	578	186	0.3217993079584775086
carspt	2017-06-13	Cars	false	576	221	0.3836805555555555555
carspt	2017-06-14	Cars	false	567	196	0.3456790123456790123
carspt	2017-06-15	Cars	false	399	146	0.3659147869674185463
carspt	2017-06-16	Cars	false	550	198	0.3600000000000000000
carspt	2017-06-17	Cars	false	481	182	0.3783783783783783783
carspt	2017-06-18	Cars	false	185	74	0.4000000000000000000
carspt	2017-06-19	Cars	false	444	153	0.3445945945945945945
carspt	2017-06-20	Cars	false	606	234	0.3861386138613861386
carspt	2017-06-21	Cars	false	687	241	0.3508005822416302765
carspt	2017-06-22	Cars	false	685	253	0.3693430656934306569
carspt	2017-06-23	Cars	false	787	235	0.2986022871664548919
carspt	2017-06-24	Cars	false	466	186	0.3991416309012875536
carspt	2017-06-25	Cars	false	333	128	0.3843843843843843843
carspt	2017-06-26	Cars	false	656	202	0.3079268292682926829
carspt	2017-06-27	Cars	false	756	241	0.3187830687830687830
carspt	2017-06-28	Cars	false	810	243	0.3000000000000000000
carspt	2017-06-29	Cars	false	740	207	0.2797297297297297297
carspt	2017-06-30	Cars	false	651	231	0.3548387096774193548
carspt	2017-07-01	Cars	false	679	264	0.3888070692194403534
carspt	2017-07-02	Cars	false	259	96	0.3706563706563706563
carspt	2017-07-03	Cars	false	624	230	0.3685897435897435897
carspt	2017-07-04	Cars	false	766	309	0.4033942558746736292
carspt	2017-07-05	Cars	false	739	298	0.4032476319350473612
carspt	2017-07-06	Cars	false	716	243	0.3393854748603351955
carspt	2017-07-07	Cars	false	790	311	0.3936708860759493670
carspt	2017-07-08	Cars	false	515	224	0.4349514563106796116
carspt	2017-07-09	Cars	false	303	114	0.3762376237623762376
carspt	2017-07-10	Cars	false	618	215	0.3478964401294498381
carspt	2017-07-11	Cars	false	661	233	0.3524962178517397881
carspt	2017-07-12	Cars	false	687	262	0.3813682678311499272
carspt	2017-07-13	Cars	false	742	256	0.3450134770889487870
carspt	2017-07-14	Cars	false	843	258	0.3060498220640569395
carspt	2017-07-15	Cars	false	443	190	0.4288939051918735891
carspt	2017-07-16	Cars	false	231	98	0.4242424242424242424
carspt	2017-07-17	Cars	false	634	231	0.3643533123028391167
carspt	2017-07-18	Cars	false	815	275	0.3374233128834355828
carspt	2017-07-19	Cars	false	708	271	0.3827683615819209039
carspt	2017-07-20	Cars	false	670	260	0.3880597014925373134
carspt	2017-07-21	Cars	false	680	250	0.3676470588235294117
carspt	2017-07-22	Cars	false	486	229	0.4711934156378600823
carspt	2017-07-23	Cars	false	285	109	0.3824561403508771929
