livesync_dbname	created_at_first_day	name_en	blank_description	qtylistings	qtylistingswithliquidity	perlistingswithliquidity
otomotopl	2017-06-01	Cars	false	8498	828	0.0974346905154153918
otomotopl	2017-06-02	Cars	false	8767	877	0.1000342192312079388
otomotopl	2017-06-03	Cars	false	7099	725	0.1021270601493168051
otomotopl	2017-06-04	Cars	false	6744	677	0.1003855278766310794
otomotopl	2017-06-05	Cars	false	8725	795	0.0911174785100286532
otomotopl	2017-06-06	Cars	false	9072	905	0.0997574955908289241
otomotopl	2017-06-07	Cars	false	9017	859	0.0952645003881557058
otomotopl	2017-06-08	Cars	false	9086	881	0.0969623596742240810
otomotopl	2017-06-09	Cars	false	8811	862	0.0978322551356259221
otomotopl	2017-06-10	Cars	false	7177	711	0.0990664623101574474
otomotopl	2017-06-11	Cars	false	6527	648	0.0992799142025432817
otomotopl	2017-06-12	Cars	false	8315	836	0.1005411906193625977
otomotopl	2017-06-13	Cars	false	8539	844	0.0988406136549947300
otomotopl	2017-06-14	Cars	false	8017	822	0.1025321192466009729
otomotopl	2017-06-15	Cars	false	6111	641	0.1048928162330224185
otomotopl	2017-06-16	Cars	false	7599	799	0.1051454138702460850
otomotopl	2017-06-17	Cars	false	6358	635	0.0998741742686379364
otomotopl	2017-06-18	Cars	false	6062	575	0.0948531837677334213
otomotopl	2017-06-19	Cars	false	8026	744	0.0926987291303264390
otomotopl	2017-06-20	Cars	false	8584	831	0.0968080149114631873
otomotopl	2017-06-21	Cars	false	8401	857	0.1020116652779431020
otomotopl	2017-06-22	Cars	false	8614	881	0.1022753656837706059
otomotopl	2017-06-23	Cars	false	8301	838	0.1009516925671605830
otomotopl	2017-06-24	Cars	false	6532	704	0.1077770973668095529
otomotopl	2017-06-25	Cars	false	6305	612	0.0970658207771609833
otomotopl	2017-06-26	Cars	false	8020	787	0.0981296758104738154
otomotopl	2017-06-27	Cars	false	8099	772	0.0953204099271515001
otomotopl	2017-06-28	Cars	false	8293	866	0.1044254190280959845
otomotopl	2017-06-29	Cars	false	7767	780	0.1004248744689069138
otomotopl	2017-06-30	Cars	false	7717	830	0.1075547492548917973
otomotopl	2017-07-01	Cars	false	6829	760	0.1112900863962512813
otomotopl	2017-07-02	Cars	false	6181	603	0.0975570296068597314
otomotopl	2017-07-03	Cars	false	8071	732	0.0906950811547515797
otomotopl	2017-07-04	Cars	false	8450	787	0.0931360946745562130
otomotopl	2017-07-05	Cars	false	8414	793	0.0942476824340385072
otomotopl	2017-07-06	Cars	false	9015	858	0.0951747088186356073
otomotopl	2017-07-07	Cars	false	8885	854	0.0961170512099043331
otomotopl	2017-07-08	Cars	false	7191	720	0.1001251564455569461
otomotopl	2017-07-09	Cars	false	6311	535	0.0847726192362541594
otomotopl	2017-07-10	Cars	false	8279	758	0.0915569513226235052
otomotopl	2017-07-11	Cars	false	8653	794	0.0917600832081359066
otomotopl	2017-07-12	Cars	false	8358	792	0.0947595118449389806
otomotopl	2017-07-13	Cars	false	8397	789	0.0939621293319042515
otomotopl	2017-07-14	Cars	false	8616	837	0.0971448467966573816
otomotopl	2017-07-15	Cars	false	6992	712	0.1018306636155606407
otomotopl	2017-07-16	Cars	false	6168	590	0.0956549935149156939
otomotopl	2017-07-17	Cars	false	8111	721	0.0888916286524472937
otomotopl	2017-07-18	Cars	false	8274	769	0.0929417452260091854
otomotopl	2017-07-19	Cars	false	8343	832	0.0997243197890447081
otomotopl	2017-07-20	Cars	false	8376	815	0.0973018147086914995
otomotopl	2017-07-21	Cars	false	7801	860	0.1102422766312011280
otomotopl	2017-07-22	Cars	false	6358	713	0.1121421830764391318
otomotopl	2017-07-23	Cars	false	5824	568	0.0975274725274725274
otomotopl	2017-07-24	Cars	false	7898	751	0.0950873638895923018
otomotopl	2017-07-25	Cars	false	8034	793	0.0987055016181229773
otomotopl	2017-07-26	Cars	false	7784	821	0.1054727646454265159
otomotopl	2017-07-27	Cars	false	7839	810	0.1033295063145809414
otomotopl	2017-07-28	Cars	false	8028	795	0.0990284005979073243
otomotopl	2017-07-29	Cars	false	6494	661	0.1017862642439174622
otomotopl	2017-07-30	Cars	false	5361	471	0.0878567431449356463
otomotopl	2017-07-31	Cars	false	8573	678	0.0790855009914848944
otomotopl	2017-08-01	Cars	false	7589	736	0.0969824746343391751
otomotopl	2017-08-02	Cars	false	7676	678	0.0883272537780093798
otomotopl	2017-08-03	Cars	false	7930	767	0.0967213114754098360
otomotopl	2017-08-04	Cars	false	7991	797	0.0997372043548992616
otomotopl	2017-08-05	Cars	false	6201	648	0.1044992743105950653
otomotopl	2017-08-06	Cars	false	5681	547	0.0962858651645837000
otomotopl	2017-08-07	Cars	false	7764	740	0.0953116950025759917
otomotopl	2017-08-08	Cars	false	8204	782	0.0953193564115065821
otomotopl	2017-08-09	Cars	false	8216	838	0.1019961051606621226
otomotopl	2017-08-10	Cars	false	8113	803	0.0989769505731541969
