key.0;value.pv;value.sessions
04/07/2017;13;3
05/07/2017;611;9
06/07/2017;111;18
07/07/2017;600;27
08/07/2017;22;3
09/07/2017;26;6
10/07/2017;144;11
11/07/2017;109;9
12/07/2017;44;6
13/07/2017;73;11
14/07/2017;19;6
15/07/2017;11;2
16/07/2017;9;3
17/07/2017;229;12
18/07/2017;38;7
19/07/2017;43;5
20/07/2017;36;5
21/07/2017;30;7
22/07/2017;22;4
23/07/2017;28;2
25/07/2017;9;4
26/07/2017;10;4
27/07/2017;22;3
28/07/2017;11;2
29/07/2017;30;4
30/07/2017;24;1
31/07/2017;9;2
01/08/2017;23;3
02/08/2017;14;3
03/08/2017;90;9
04/08/2017;21;6
05/08/2017;64;3
06/08/2017;5;3
07/08/2017;11;5
08/08/2017;73;9
09/08/2017;92;10
10/08/2017;65;12
11/08/2017;61;8
12/08/2017;5;1
13/08/2017;22;5
14/08/2017;12;3
15/08/2017;94;9
16/08/2017;39;6
17/08/2017;75;12
18/08/2017;125;14
19/08/2017;15;4
