key.0;value.pv;value.sessions
05/07/2017;8;5
07/07/2017;22;11
08/07/2017;2;2
09/07/2017;44;7
10/07/2017;13;10
11/07/2017;14;6
12/07/2017;6;5
13/07/2017;24;10
14/07/2017;9;5
15/07/2017;13;3
16/07/2017;6;5
17/07/2017;16;6
18/07/2017;696;232
19/07/2017;1015;304
20/07/2017;678;211
21/07/2017;951;283
22/07/2017;1024;272
23/07/2017;994;306
24/07/2017;1228;309
25/07/2017;1193;294
26/07/2017;1278;310
27/07/2017;864;290
28/07/2017;887;280
29/07/2017;899;306
30/07/2017;1096;359
31/07/2017;1233;379
01/08/2017;1600;440
02/08/2017;1201;378
03/08/2017;1474;426
04/08/2017;1164;320
05/08/2017;900;284
06/08/2017;1223;319
07/08/2017;1897;403
08/08/2017;798;227
09/08/2017;456;106
10/08/2017;873;220
11/08/2017;1368;317
12/08/2017;1302;352
13/08/2017;1473;335
14/08/2017;1304;294
15/08/2017;1371;394
16/08/2017;803;204
17/08/2017;470;126
18/08/2017;339;105
19/08/2017;641;160
