key.0;value.pv;value.sessions
05/07/2017;98;10
06/07/2017;483;59
07/07/2017;68;18
09/07/2017;474;7
10/07/2017;26;12
11/07/2017;31;5
12/07/2017;170;11
13/07/2017;14;8
14/07/2017;11;5
15/07/2017;1;1
16/07/2017;6;4
17/07/2017;92;9
18/07/2017;24;9
19/07/2017;37;12
20/07/2017;24;7
21/07/2017;14;8
22/07/2017;2;2
23/07/2017;15;14
24/07/2017;16;8
25/07/2017;25;13
26/07/2017;35;10
27/07/2017;18;9
28/07/2017;18;7
29/07/2017;4;3
30/07/2017;4;3
31/07/2017;12;7
01/08/2017;9;8
02/08/2017;24;11
03/08/2017;11;9
04/08/2017;14;3
06/08/2017;12;2
07/08/2017;7;7
08/08/2017;76;14
09/08/2017;142;13
10/08/2017;16;9
11/08/2017;624;134
12/08/2017;859;148
13/08/2017;794;159
14/08/2017;1433;248
15/08/2017;1984;265
16/08/2017;1644;257
17/08/2017;1561;235
18/08/2017;1143;218
19/08/2017;1613;174
