Date;Action type;Clicks (Usability)
03/04/2017;showing_phone;280
04/04/2017;showing_phone;276
02/04/2017;showing_phone;228
05/04/2017;showing_phone;113
19/04/2017;showing_phone;101
06/04/2017;showing_phone;92
11/04/2017;showing_phone;79
12/04/2017;showing_phone;77
07/04/2017;showing_phone;61
26/04/2017;showing_phone;57
03/07/2017;showing_phone;57
08/04/2017;showing_phone;54
13/04/2017;showing_phone;52
10/04/2017;showing_phone;48
18/04/2017;showing_phone;46
04/05/2017;showing_phone;43
17/04/2017;showing_phone;42
20/04/2017;showing_phone;42
31/05/2017;showing_phone;41
25/04/2017;showing_phone;40
14/04/2017;showing_phone;35
16/06/2017;showing_phone;34
27/04/2017;showing_phone;33
03/05/2017;showing_phone;33
06/06/2017;showing_phone;32
16/04/2017;showing_phone;30
21/04/2017;showing_phone;30
06/05/2017;showing_phone;30
09/04/2017;showing_phone;28
15/04/2017;showing_phone;27
23/04/2017;showing_phone;27
02/05/2017;showing_phone;26
05/05/2017;showing_phone;25
09/05/2017;showing_phone;25
30/05/2017;showing_phone;24
23/05/2017;showing_phone;23
20/06/2017;showing_phone;23
28/04/2017;showing_phone;22
11/05/2017;showing_phone;22
02/06/2017;showing_phone;22
22/04/2017;showing_phone;21
13/05/2017;showing_phone;21
08/05/2017;showing_phone;20
07/06/2017;showing_phone;20
14/06/2017;showing_phone;20
01/05/2017;showing_phone;19
15/06/2017;showing_phone;19
24/06/2017;showing_phone;19
24/05/2017;showing_phone;18
19/06/2017;showing_phone;18
22/05/2017;showing_phone;17
17/06/2017;showing_phone;17
26/05/2017;showing_phone;16
08/06/2017;showing_phone;16
09/06/2017;showing_phone;16
22/06/2017;showing_phone;16
28/06/2017;showing_phone;16
29/06/2017;showing_phone;16
24/04/2017;showing_phone;15
10/05/2017;showing_phone;15
25/05/2017;showing_phone;14
11/06/2017;showing_phone;14
13/06/2017;showing_phone;14
30/06/2017;showing_phone;14
12/05/2017;showing_phone;13
16/05/2017;showing_phone;13
10/06/2017;showing_phone;13
21/06/2017;showing_phone;13
23/06/2017;showing_phone;12
18/05/2017;showing_phone;11
19/05/2017;showing_phone;11
28/05/2017;showing_phone;11
03/06/2017;showing_phone;11
27/06/2017;showing_phone;11
20/05/2017;showing_phone;10
12/06/2017;showing_phone;10
18/06/2017;showing_phone;9
01/07/2017;showing_phone;9
29/04/2017;showing_phone;8
30/04/2017;showing_phone;8
15/05/2017;showing_phone;8
21/05/2017;showing_phone;8
29/05/2017;showing_phone;8
07/05/2017;showing_phone;7
14/05/2017;showing_phone;7
01/06/2017;showing_phone;7
05/06/2017;showing_phone;7
02/07/2017;showing_phone;7
27/05/2017;showing_phone;6
04/06/2017;showing_phone;6
17/05/2017;showing_phone;5
25/06/2017;showing_phone;4
26/06/2017;showing_phone;4
