Date;Visits
03/04/2017;437
04/04/2017;425
02/04/2017;420
05/04/2017;238
07/04/2017;224
08/04/2017;215
06/04/2017;208
09/04/2017;197
13/04/2017;190
10/04/2017;184
11/04/2017;184
15/04/2017;181
17/04/2017;172
20/04/2017;172
19/04/2017;171
16/04/2017;168
25/04/2017;168
10/05/2017;168
26/04/2017;166
18/04/2017;163
24/04/2017;163
14/04/2017;162
21/04/2017;162
12/04/2017;154
22/04/2017;153
23/04/2017;149
27/04/2017;148
28/04/2017;143
29/04/2017;137
04/05/2017;136
30/04/2017;131
09/05/2017;131
04/06/2017;125
06/05/2017;123
12/05/2017;122
01/05/2017;117
21/05/2017;117
08/05/2017;116
20/05/2017;115
14/05/2017;114
03/05/2017;113
19/05/2017;113
22/05/2017;112
02/05/2017;111
07/05/2017;110
10/06/2017;110
13/06/2017;110
05/05/2017;108
11/05/2017;108
16/05/2017;108
23/05/2017;106
29/05/2017;106
13/05/2017;105
28/05/2017;105
15/05/2017;103
17/05/2017;103
27/05/2017;103
14/06/2017;100
17/06/2017;100
06/06/2017;99
25/05/2017;98
01/06/2017;95
07/06/2017;95
08/06/2017;95
18/05/2017;94
02/07/2017;94
03/07/2017;94
09/06/2017;93
24/05/2017;92
26/06/2017;90
16/06/2017;89
20/06/2017;89
05/06/2017;88
02/06/2017;87
03/06/2017;87
12/06/2017;86
15/06/2017;85
19/06/2017;85
31/05/2017;83
18/06/2017;83
30/05/2017;81
11/06/2017;80
30/06/2017;79
22/06/2017;78
25/06/2017;78
27/06/2017;78
29/06/2017;78
01/07/2017;77
26/05/2017;75
21/06/2017;75
24/06/2017;75
28/06/2017;66
23/06/2017;63
