Date;Visits
02/04/2017;10025
03/04/2017;9735
04/04/2017;8563
05/04/2017;2265
06/04/2017;1880
07/04/2017;1762
08/04/2017;1570
09/04/2017;1437
10/04/2017;1243
11/04/2017;1177
12/04/2017;1096
14/04/2017;1017
15/04/2017;1003
13/04/2017;994
16/04/2017;868
17/04/2017;859
18/04/2017;781
21/04/2017;778
19/04/2017;768
22/04/2017;725
20/04/2017;698
23/04/2017;690
24/04/2017;649
27/04/2017;627
26/04/2017;597
25/04/2017;567
29/04/2017;565
28/04/2017;555
30/04/2017;547
01/05/2017;517
05/05/2017;500
02/05/2017;496
06/05/2017;487
07/05/2017;477
08/05/2017;474
10/05/2017;464
03/05/2017;457
04/05/2017;447
21/05/2017;438
12/05/2017;436
20/05/2017;433
09/05/2017;431
14/05/2017;419
11/05/2017;411
18/05/2017;401
22/05/2017;401
27/05/2017;390
17/05/2017;384
13/05/2017;382
19/05/2017;366
15/05/2017;365
16/05/2017;363
30/05/2017;355
25/05/2017;353
24/05/2017;349
29/05/2017;348
04/06/2017;339
26/05/2017;335
28/05/2017;333
01/06/2017;330
23/05/2017;319
07/06/2017;311
08/06/2017;303
03/06/2017;301
09/06/2017;300
10/06/2017;297
14/06/2017;297
31/05/2017;294
12/06/2017;289
21/06/2017;289
02/06/2017;288
06/06/2017;286
13/06/2017;283
16/06/2017;283
28/06/2017;282
19/06/2017;281
05/06/2017;280
15/06/2017;278
26/06/2017;271
18/06/2017;266
02/07/2017;262
22/06/2017;261
25/06/2017;261
27/06/2017;260
17/06/2017;245
30/06/2017;243
20/06/2017;242
23/06/2017;240
11/06/2017;232
29/06/2017;231
24/06/2017;230
01/07/2017;220
03/07/2017;210
