key.0;value.pv;value.sessions
04/07/2017;308;53
05/07/2017;1195;180
06/07/2017;744;146
07/07/2017;963;226
08/07/2017;405;83
09/07/2017;436;68
10/07/2017;1172;144
11/07/2017;1279;121
12/07/2017;1000;141
13/07/2017;1446;157
14/07/2017;639;118
15/07/2017;536;98
16/07/2017;489;94
17/07/2017;931;171
18/07/2017;1130;182
19/07/2017;1070;175
20/07/2017;838;159
21/07/2017;1105;220
22/07/2017;761;185
23/07/2017;567;141
24/07/2017;1186;212
25/07/2017;1043;199
26/07/2017;841;163
27/07/2017;1970;205
28/07/2017;1450;225
29/07/2017;679;169
30/07/2017;488;138
31/07/2017;908;218
01/08/2017;1097;198
02/08/2017;1190;223
03/08/2017;806;228
04/08/2017;1291;222
05/08/2017;729;167
