key.0;value.pv;value.sessions
04/07/2017;1065;70
05/07/2017;266;39
06/07/2017;411;26
07/07/2017;107;19
09/07/2017;149;9
10/07/2017;147;13
11/07/2017;41;5
12/07/2017;72;12
13/07/2017;52;12
14/07/2017;6;6
15/07/2017;1;1
16/07/2017;3;2
17/07/2017;4;3
18/07/2017;25;7
19/07/2017;36;9
20/07/2017;3;2
21/07/2017;16;5
23/07/2017;3;2
24/07/2017;2;2
25/07/2017;25;5
26/07/2017;2;1
27/07/2017;43;8
28/07/2017;7;4
29/07/2017;2;2
31/07/2017;6;5
01/08/2017;6;5
02/08/2017;1;1
03/08/2017;14;11
04/08/2017;3;1
06/08/2017;2;2
07/08/2017;4;4
08/08/2017;30;10
09/08/2017;11;3
10/08/2017;9;6
11/08/2017;2;1
14/08/2017;7;6
15/08/2017;6;4
16/08/2017;12;7
17/08/2017;10;7
18/08/2017;33;12
19/08/2017;1;1
