key.0;value.pv;value.sessions
05/07/2017;967;79
06/07/2017;845;66
07/07/2017;198;41
08/07/2017;18;4
09/07/2017;19;8
10/07/2017;423;39
11/07/2017;541;31
12/07/2017;142;24
13/07/2017;430;106
14/07/2017;441;104
15/07/2017;359;79
16/07/2017;259;48
17/07/2017;228;71
18/07/2017;757;155
19/07/2017;519;141
20/07/2017;627;132
21/07/2017;582;137
22/07/2017;373;108
23/07/2017;580;122
24/07/2017;371;134
25/07/2017;593;140
26/07/2017;767;159
27/07/2017;651;151
28/07/2017;567;129
29/07/2017;494;116
30/07/2017;414;122
31/07/2017;1591;278
01/08/2017;1698;374
02/08/2017;1717;363
03/08/2017;1654;363
04/08/2017;1625;338
05/08/2017;909;208
06/08/2017;901;168
07/08/2017;2908;538
08/08/2017;4195;710
09/08/2017;3429;543
10/08/2017;3573;592
11/08/2017;3326;631
12/08/2017;2904;543
13/08/2017;2510;463
14/08/2017;3412;584
15/08/2017;3361;603
16/08/2017;3934;582
17/08/2017;5682;798
18/08/2017;5226;789
19/08/2017;4617;749
