Date;Action type;Clicks (Usability)
02/04/2017;showing_phone;540
03/04/2017;showing_phone;472
04/04/2017;showing_phone;432
05/04/2017;showing_phone;173
06/04/2017;showing_phone;150
11/04/2017;showing_phone;143
08/04/2017;showing_phone;122
07/04/2017;showing_phone;120
19/04/2017;showing_phone;113
12/04/2017;showing_phone;98
15/04/2017;showing_phone;95
09/04/2017;showing_phone;94
16/04/2017;showing_phone;94
10/04/2017;showing_phone;92
13/04/2017;showing_phone;92
04/06/2017;showing_phone;91
17/04/2017;showing_phone;84
25/04/2017;showing_phone;82
27/04/2017;showing_phone;75
14/04/2017;showing_phone;74
22/04/2017;showing_phone;73
23/04/2017;showing_phone;73
30/04/2017;showing_phone;72
24/04/2017;showing_phone;71
10/06/2017;showing_phone;70
26/04/2017;showing_phone;66
10/05/2017;showing_phone;66
02/05/2017;showing_phone;63
06/05/2017;showing_phone;61
20/04/2017;showing_phone;60
21/04/2017;showing_phone;58
29/04/2017;showing_phone;58
01/05/2017;showing_phone;56
22/05/2017;showing_phone;54
26/05/2017;showing_phone;54
18/05/2017;showing_phone;53
18/04/2017;showing_phone;51
28/04/2017;showing_phone;49
25/06/2017;showing_phone;49
29/05/2017;showing_phone;46
08/06/2017;showing_phone;46
14/05/2017;showing_phone;45
05/05/2017;showing_phone;43
21/05/2017;showing_phone;43
28/05/2017;showing_phone;43
07/05/2017;showing_phone;42
09/05/2017;showing_phone;40
24/05/2017;showing_phone;39
31/05/2017;showing_phone;39
19/06/2017;showing_phone;39
24/06/2017;showing_phone;38
12/05/2017;showing_phone;37
17/05/2017;showing_phone;37
20/05/2017;showing_phone;37
03/06/2017;showing_phone;37
11/05/2017;showing_phone;36
23/06/2017;showing_phone;36
04/05/2017;showing_phone;33
13/05/2017;showing_phone;33
25/05/2017;showing_phone;33
21/06/2017;showing_phone;33
30/05/2017;showing_phone;32
01/06/2017;showing_phone;32
08/05/2017;showing_phone;31
19/05/2017;showing_phone;30
26/06/2017;showing_phone;30
27/05/2017;showing_phone;29
16/05/2017;showing_phone;28
05/06/2017;showing_phone;28
07/06/2017;showing_phone;28
20/06/2017;showing_phone;28
15/05/2017;showing_phone;27
23/05/2017;showing_phone;27
09/06/2017;showing_phone;27
11/06/2017;showing_phone;27
12/06/2017;showing_phone;27
03/05/2017;showing_phone;26
30/06/2017;showing_phone;26
17/06/2017;showing_phone;24
15/06/2017;showing_phone;23
28/06/2017;showing_phone;23
13/06/2017;showing_phone;21
02/06/2017;showing_phone;19
14/06/2017;showing_phone;19
03/07/2017;showing_phone;19
16/06/2017;showing_phone;18
22/06/2017;showing_phone;17
29/06/2017;showing_phone;17
02/07/2017;showing_phone;15
06/06/2017;showing_phone;14
27/06/2017;showing_phone;14
01/07/2017;showing_phone;14
18/06/2017;showing_phone;9
