key.0;value.pv;value.sessions
04/07/2017;1542;56
05/07/2017;895;53
06/07/2017;1748;100
07/07/2017;2522;123
08/07/2017;2142;109
09/07/2017;1648;76
10/07/2017;1843;96
11/07/2017;2778;111
12/07/2017;1735;73
13/07/2017;2084;96
14/07/2017;1793;98
15/07/2017;1915;91
16/07/2017;1904;107
17/07/2017;1770;95
18/07/2017;1899;94
19/07/2017;1994;104
20/07/2017;1301;98
21/07/2017;1708;100
22/07/2017;2143;120
23/07/2017;1740;99
24/07/2017;1847;102
25/07/2017;2243;118
26/07/2017;1479;94
27/07/2017;2009;102
28/07/2017;2058;108
29/07/2017;1736;106
30/07/2017;1727;110
31/07/2017;1894;103
01/08/2017;1887;92
02/08/2017;1842;94
03/08/2017;1634;96
04/08/2017;1488;103
05/08/2017;1627;89
