key.0;value.pv;value.sessions
05/07/2017;14;5
06/07/2017;12;6
07/07/2017;6;5
08/07/2017;2;2
10/07/2017;3;3
11/07/2017;4;3
12/07/2017;1;1
13/07/2017;1;1
15/07/2017;12;2
16/07/2017;6;3
17/07/2017;17;4
18/07/2017;10;4
19/07/2017;4;3
20/07/2017;5;5
21/07/2017;7;5
22/07/2017;4;4
23/07/2017;6;3
24/07/2017;4;2
25/07/2017;2;1
26/07/2017;5;5
27/07/2017;9;4
28/07/2017;4;4
30/07/2017;10;2
31/07/2017;6;3
01/08/2017;4;4
02/08/2017;31;4
03/08/2017;2;2
04/08/2017;2;2
05/08/2017;5;1
06/08/2017;3;3
07/08/2017;9;5
08/08/2017;2;2
09/08/2017;3;2
11/08/2017;81;23
12/08/2017;3;3
13/08/2017;6;5
14/08/2017;10;6
15/08/2017;1;1
16/08/2017;13;10
17/08/2017;19;12
18/08/2017;18;8
19/08/2017;22;9
