Date,rwd,android,ios,desktop
2017-07-04,103,0,506,109
2017-07-05,252,0,273,719
2017-07-06,329,0,729,356
2017-07-07,193,0,967,532
2017-07-08,377,0,855,144
2017-07-09,502,0,575,178
2017-07-10,500,0,533,547
2017-07-11,484,0,662,464
2017-07-12,470,8,566,659
2017-07-13,451,11,847,702
2017-07-14,549,0,685,432
2017-07-15,721,0,627,269
2017-07-16,690,0,657,243
2017-07-17,929,0,650,579
2017-07-18,819,0,780,683
2017-07-19,727,0,829,681
2017-07-20,747,0,582,635
2017-07-21,1112,0,623,819
2017-07-22,1133,0,867,496
2017-07-23,1224,0,799,451
2017-07-24,1204,0,628,833
2017-07-25,1256,0,789,718
2017-07-26,1064,0,539,691
2017-07-27,1103,0,732,794
2017-07-28,1144,0,811,666
2017-07-29,1102,0,607,405
2017-07-30,1114,0,631,339
2017-07-31,867,7,809,738
2017-08-01,920,0,807,642
2017-08-02,949,0,718,608
2017-08-03,956,0,666,591
2017-08-04,761,0,568,685
2017-08-05,891,0,643,377
