Date;Visits
03/04/2017;2724
04/04/2017;2714
02/04/2017;2116
05/04/2017;955
06/04/2017;905
07/04/2017;903
10/04/2017;848
08/04/2017;812
09/04/2017;761
11/04/2017;645
19/04/2017;586
20/04/2017;581
12/04/2017;579
18/04/2017;566
21/04/2017;558
17/04/2017;551
13/04/2017;534
24/04/2017;533
27/04/2017;505
02/05/2017;498
14/04/2017;495
25/04/2017;493
26/04/2017;483
03/05/2017;482
15/04/2017;469
01/05/2017;468
04/05/2017;468
28/04/2017;465
09/05/2017;465
11/05/2017;465
05/05/2017;462
15/06/2017;461
12/06/2017;458
13/06/2017;458
14/06/2017;454
09/06/2017;453
29/06/2017;453
19/05/2017;447
06/06/2017;445
08/05/2017;444
10/05/2017;444
27/06/2017;444
23/06/2017;442
07/06/2017;441
16/06/2017;437
22/04/2017;433
23/05/2017;433
17/05/2017;432
30/05/2017;431
02/06/2017;431
22/05/2017;429
18/05/2017;427
03/07/2017;427
30/06/2017;426
05/06/2017;424
28/06/2017;423
31/05/2017;421
16/04/2017;420
16/05/2017;418
15/05/2017;416
12/05/2017;414
25/05/2017;411
01/06/2017;411
24/05/2017;406
26/05/2017;406
08/06/2017;406
22/06/2017;406
29/05/2017;402
23/04/2017;401
20/06/2017;400
21/06/2017;399
29/04/2017;397
26/06/2017;392
20/05/2017;379
01/07/2017;373
19/06/2017;372
28/05/2017;369
10/06/2017;367
13/05/2017;363
11/06/2017;360
03/06/2017;358
27/05/2017;351
24/06/2017;351
06/05/2017;344
30/04/2017;339
04/06/2017;339
21/05/2017;336
02/07/2017;335
17/06/2017;329
25/06/2017;324
14/05/2017;311
07/05/2017;298
18/06/2017;246
