Period Start Date,PLN/EUR
2017-06-30,0.236192
2017-06-29,0.235982
2017-06-28,0.236088
2017-06-27,0.237277
2017-06-26,0.237219
2017-06-25,0.236822
2017-06-24,0.236822
2017-06-23,0.236438
2017-06-22,0.235535
2017-06-21,0.235490
2017-06-20,0.236541
2017-06-19,0.237433
2017-06-18,0.237632
2017-06-17,0.237632
2017-06-16,0.236906
2017-06-15,0.237445
2017-06-14,0.238385
2017-06-13,0.238532
2017-06-12,0.238643
2017-06-11,0.238962
2017-06-10,0.238962
2017-06-09,0.238490
2017-06-08,0.237866
2017-06-07,0.238244
2017-06-06,0.238555
2017-06-05,0.238940
2017-06-04,0.239016
2017-06-03,0.239016
2017-06-02,0.238704
2017-06-01,0.238953
2017-05-31,0.239461
2017-05-30,0.239318
2017-05-29,0.239126
2017-05-28,0.239048
2017-05-27,0.239048
2017-05-26,0.239311
2017-05-25,0.239476
2017-05-24,0.238510
2017-05-23,0.238080
2017-05-22,0.238364
2017-05-21,0.238470
2017-05-20,0.238470
2017-05-19,0.237602
2017-05-18,0.237629
2017-05-17,0.239073
2017-05-16,0.238491
2017-05-15,0.237694
2017-05-14,0.237356
2017-05-13,0.237356
2017-05-12,0.236898
2017-05-11,0.237174
2017-05-10,0.236848
2017-05-09,0.236420
2017-05-08,0.237516
2017-05-07,0.237555
2017-05-06,0.237555
2017-05-05,0.236966
2017-05-04,0.237392
2017-05-03,0.238067
2017-05-02,0.237206
2017-05-01,0.236880
2017-04-30,0.236530
2017-04-29,0.236530
2017-04-28,0.236840
2017-04-27,0.236700
2017-04-26,0.236684
2017-04-25,0.236116
2017-04-24,0.235618
2017-04-23,0.234602
2017-04-22,0.234602
2017-04-21,0.234274
2017-04-20,0.234676
2017-04-19,0.235822
2017-04-18,0.235899
2017-04-17,0.235685
2017-04-16,0.236125
2017-04-15,0.236125
2017-04-14,0.235654
2017-04-13,0.235502
2017-04-12,0.235434
2017-04-11,0.235826
2017-04-10,0.236465
2017-04-09,0.236767
2017-04-08,0.236767
2017-04-07,0.236536
2017-04-06,0.236197
2017-04-05,0.235728
2017-04-04,0.235564
2017-04-03,0.236202
2017-04-02,0.236288
2017-04-01,0.236288
2017-03-31,0.236878
2017-03-30,0.236826
2017-03-29,0.236092
2017-03-28,0.235600
2017-03-27,0.234752
2017-03-26,0.234654
2017-03-25,0.234656
2017-03-24,0.234442
2017-03-23,0.233978
2017-03-22,0.233686
2017-03-21,0.234228
2017-03-20,0.233616
2017-03-19,0.233506
2017-03-18,0.233506
2017-03-17,0.232622
2017-03-16,0.232198
2017-03-15,0.231682
2017-03-14,0.231086
2017-03-13,0.230580
2017-03-12,0.230591
2017-03-11,0.230568
2017-03-10,0.231050
2017-03-09,0.231749
2017-03-08,0.232172
2017-03-07,0.232164
2017-03-06,0.232212
2017-03-05,0.232286
2017-03-04,0.232288
2017-03-03,0.232563
2017-03-02,0.233162
2017-03-01,0.232660
2017-02-28,0.231867
2017-02-27,0.231846
2017-02-26,0.231815
2017-02-25,0.231814
2017-02-24,0.232177
2017-02-23,0.232466
2017-02-22,0.232676
2017-02-21,0.231928
2017-02-20,0.231236
2017-02-19,0.230727
2017-02-18,0.230736
2017-02-17,0.231386
2017-02-16,0.231710
2017-02-15,0.232290
2017-02-14,0.232132
2017-02-13,0.232342
2017-02-12,0.232847
2017-02-11,0.232844
2017-02-10,0.232246
2017-02-09,0.231788
2017-02-08,0.232042
2017-02-07,0.232740
2017-02-06,0.232796
2017-02-05,0.232443
2017-02-04,0.232440
2017-02-03,0.232150
2017-02-02,0.232109
2017-02-01,0.231478
2017-01-31,0.230866
2017-01-30,0.230786
2017-01-29,0.230658
2017-01-28,0.230660
2017-01-27,0.230325
2017-01-26,0.229914
2017-01-25,0.229164
2017-01-24,0.228686
2017-01-23,0.228759
2017-01-22,0.228926
2017-01-21,0.228922
2017-01-20,0.228826
2017-01-19,0.229023
2017-01-18,0.229082
2017-01-17,0.228714
2017-01-16,0.228358
2017-01-15,0.227960
2017-01-14,0.227968
2017-01-13,0.228540
2017-01-12,0.228674
2017-01-11,0.228829
2017-01-10,0.228465
2017-01-09,0.228913
2017-01-08,0.229518
2017-01-07,0.229516
2017-01-06,0.229254
2017-01-05,0.228940
2017-01-04,0.228262
2017-01-03,0.227164
2017-01-02,0.227014
2017-01-01,0.227014
